Text Slug,,#char,#words,LW #char,2-line #char,max rows,Bal #row,,Min Slope,Lx1 cells,Max Slope,2xH cells,,Graphic text sticker,Magic text Sticker,,OccasionScore0,OccasionScore1,OccasionScore2,OccasionScore3,,Automation,,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10,keyword 11,keyword 12,,
a-true-love-story-never-ends,,28,6,5,14,6,5,,0.11,10,2.50,5,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-vacation-slam-dunk,,20,4,8,10,4,3,,0.15,7,1.00,2,,0,1,,travel,,,,,Yes,,beach,palm tree,sand,,,,,,,,,,,
a-very-merry-winter,,19,4,6,9,4,3,,0.16,7,1.50,3,,0,1,,,,"family, seasonal-holidays, year-in-review, everyday, life-stories, kids, ",,,Yes,,snow,snowman,,,,,,,,,,,,
a-very-special,,14,3,7,7,3,2,,0.21,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-view-worth-paying-for,,23,5,6,11,5,4,,0.13,8,2.00,4,,0,1,,,"travel, year-in-review, seasonal-holidays, family",,,,Yes,,aerial view,skyscraper,promontory,landscape,sunrise,sunset,mountain range,red sky,waterfall,glacier,,,,
a-vocal-customer,,16,3,8,8,3,2,,0.19,6,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-whole-new-underwater-world,,28,5,10,14,5,3,,0.11,10,0.75,2,,0,1,,,,"travel, family, year-in-review, everyday",,,Yes,,scuba diving,snorkeling,aquarium,underwater,Sea life,,,,,,,,,
a-wonderful-day,,15,3,9,7,3,2,,0.20,5,0.67,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday, special-celebrations, baby-shower",,,,,Yes,,sun,sunlight,outdoors,sky,,,,,,,,,,
above-all-else-a-father,,23,5,6,11,5,4,,0.13,8,2.00,4,,1,1,,,,,,,No,,,,,,,,,,,,,,,
above-all-else-a-mother,,23,5,6,11,5,4,,0.13,8,2.00,4,,1,1,,,,,,,No,,,,,,,,,,,,,,,
absolutely-amazing,,18,2,10,9,2,2,,0.17,6,0.50,1,,1,1,,,"travel, family, seasonal-holidays, year-in-review, everyday",,,,Yes,,aerial view,scenery,monument,landscape,sunrise,landmark,mountain range,glacier,waterfall,red sky,skyscraper,canyon,,
academics-clubs-and-organizations,,33,4,13,16,4,3,,0.09,11,0.60,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
acceptance-letter,,17,2,10,8,2,2,,0.18,6,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
action-shots,,12,2,6,6,2,2,,0.25,4,1.00,2,,0,1,,,,,"sports-and-hobbies, kids, everyday",,Yes,,basketball,baseball,football,soccer,hockey,,,,,,,,,
admit-one,,9,2,5,4,2,2,,0.33,3,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
adore,,5,1,5,n/a,1,1,,0.60,2,0.50,1,,0,1,,"travel, family, baby, baby-shower, seasonal-holidays",,,,,Yes,,baby,newborn,child,,,,,,,,,,,
adored,,6,1,6,n/a,1,1,,0.50,2,0.50,1,,0,1,,,,"baby, year-in-review, everyday",,,Yes,,baby,newborn,child,clinic,,,,,,,,,,
adventure-around-every-corner,,29,4,9,14,4,3,,0.10,10,1.00,2,,0,1,,,,"travel, everyday, life-stories, kids, year-in-review, family",,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,amusement park,theme park,skiing,snowboard,snowboarding,surfing,leisure activities,water sports
adventure-awaits,,16,2,9,8,2,2,,0.19,6,0.67,2,,1,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,amusement park,theme park,skiing,snowboard,snowboarding,surfing,leisure activities,water sports
adventure-here-we-come,,22,4,9,11,4,3,,0.14,8,1.00,2,,0,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,amusement park,theme park,skiing,snowboard,snowboarding,surfing,leisure activities,water sports
adventure-is-out-there,,22,4,9,11,4,3,,0.14,8,1.00,2,,0,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,amusement park,theme park,skiing,snowboard,snowboarding,surfing,leisure activities,water sports
adventures,,10,1,10,n/a,1,1,,0.30,4,0.25,1,,1,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,amusement park,theme park,skiing,snowboard,snowboarding,surfing,leisure activities,water sports
after-all-that-learning-its-time-to-play-three-cheers-for-recess,,64,12,8,32,12,7,,0.05,22,2.33,5,,0,1,,,,,,,No,,,,,,,,,,,,,,,
after-school-clubs-and-programs,,31,5,8,15,5,4,,0.10,11,1.33,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
ahead-of-the-game,,17,4,5,8,4,3,,0.18,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
air-mail,,8,2,4,4,2,2,,0.38,3,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
air-mail-global-explorer,,24,4,8,12,4,3,,0.13,8,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-about-adventure,,19,3,9,9,3,2,,0.16,7,0.67,2,,0,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,cyclist,hiking,kayak,rafting,scuba diving,rock climbing,snowboarding,surfing,skiing,snowboard,,,,
all-about-mom,,13,3,5,6,3,3,,0.23,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-about-our-school,,20,4,6,10,4,3,,0.15,7,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-aglow,,9,2,5,4,2,2,,0.33,3,1.00,2,,0,1,,baby-shower,,,,,Yes,,person:all,smile:all,happy:all,,,,,,,,,,,
all-families,,12,2,8,6,2,2,,0.25,4,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-good-things-must-come-to-an-end,,35,8,6,17,8,5,,0.09,12,2.50,5,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-grown-up,,12,3,5,6,3,2,,0.25,4,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-in-a-year,,13,4,4,6,4,3,,0.23,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-in-the-family,,17,4,6,8,4,3,,0.18,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-smiles,,10,2,6,5,2,2,,0.30,4,1.00,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday, special-celebrations, baby-shower",,,,,No,,person,smile,,,,,,,,,,,,
all-stars,,9,2,5,4,2,2,,0.33,3,1.00,2,,1,1,,"sports-and-hobbies, kids, everyday",,,,,Yes,,basketball,baseball,football,soccer,hockey,,,,,,,,,
all-wrapped-up,,14,3,7,7,3,2,,0.21,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
all-you-need-is-love,,20,5,4,10,5,4,,0.15,7,2.00,4,,1,1,,,,,,,No,,,,,,,,,,,,,,,
always-and-forever,,18,3,7,9,3,3,,0.17,6,1.00,2,,1,1,,,,,wedding,,yes,,person:all,kissing:all,,,,,,,,,,,,
amazing,,7,1,7,n/a,1,1,,0.43,3,0.33,1,,1,1,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,,Yes,,landscape,sunset,aerial view,promontory,skyscraper,sunset,mountain range,glacier,red sky,waterfall,landmark,monument,,
amazing-12-months,,17,3,7,8,3,3,,0.18,6,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
amazing-half-pipe,,17,3,7,8,3,3,,0.18,6,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
amazing-view,,12,2,7,6,2,2,,0.25,4,0.67,2,,0,1,,,"travel, family, seasonal-holidays, kids, year-in-review, sports-and-hobbies, everyday, life-stories",,,,Yes,,aerial view,skyscraper,landscape,promontory,skyscraper,sunset,mountain range,glacier,sunrise,red sky,canyon,,,
an-a-school-production,,22,4,10,11,4,2,,0.14,8,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
ancient-stones-ancient-stories,,30,4,7,15,4,4,,0.10,10,1.33,3,,0,1,,,,travel,,,Yes,,ruins,steeple,dome,spire,,,,,,,,,,
ancient-temple-diaries,,22,3,7,11,3,3,,0.14,8,1.00,2,,0,1,,,,travel,,,Yes,,ruins,castle,statue,column,steeple,dome,spire,,,,,,,
announcing-the-big-news,,23,4,10,11,4,2,,0.13,8,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
another-summer-day,,18,3,7,9,3,3,,0.17,6,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
appetizing,,10,1,10,n/a,1,1,,0.30,4,0.25,1,,0,1,,,,,"travel, everyday, life-stories, kids, year-in-review, special-celebrations, baby-shower, travel, everyday, life-stories, kids, special-celebrations",,Yes,,food,pasta,pizza,eating,,,,,,,,,,
apple-of-my-eye,,15,4,5,7,4,3,,0.20,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
approved-screen-time,,20,3,8,10,3,3,,0.15,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
are-we-there-yet,,16,4,5,8,4,3,,0.19,6,1.50,3,,1,1,,,travel,,,,Yes,,airplane,airport,ticket,train station,cruise ship,,,,,,,,,
arrival-details,,15,2,7,7,2,2,,0.20,5,0.67,2,,1,1,,,,,,,No,,,,,,,,,,,,,,,
art-by-nature,,13,3,6,6,3,2,,0.23,5,1.00,2,,0,1,,,,,,,No,,,,,,,statue,,,,,,,,
art-from-the-past,,17,4,4,8,4,4,,0.18,6,2.00,4,,0,1,,,,,"travel, year-in-review, seasonal-holidays, family",,Yes,,art,art gallery,painting,stained glass,stained wood,statue,sculpture,pottery,,,,,,
art-projects,,12,2,8,6,2,2,,0.25,4,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
attitude-is-everything,,22,3,10,11,3,2,,0.14,8,0.50,1,,1,1,,"sports-and-hobbies, kids, everyday, life-stories",,,,,Yes,,basketball,baseball,football,soccer,hockey,,,,,,,,,
audition-ready,,14,2,8,7,2,2,,0.21,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
autographs,,10,1,10,n/a,1,1,,0.30,4,0.25,1,,1,1,,,,,,,No,,,,,,,,,,,,,,,
awards,,6,1,6,n/a,1,1,,0.50,2,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
away-we-go,,10,3,4,5,3,2,,0.30,4,1.00,2,,0,1,,,travel,,,,Yes,,airplane,airport,ticket,train station,cruise ship,,,,,,,,,
awe-inspiring,,13,2,9,6,2,2,,0.23,5,0.67,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories",,,,,Yes,,church,landscape,monument,sunrise,sunset,cathedral,temple,landmark,waterfront,metropolis,pier,,,
awesome,,7,1,7,n/a,1,1,,0.43,3,0.33,1,,1,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories",,,,,Yes,,landscape,sunset,aerial view,promontory,skyscraper,sunset,mountain range,glacier,red sky,waterfall,landmark,monument,,
awesome-family,,14,2,7,7,2,2,,0.21,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
awesome-game,,12,2,7,6,2,2,,0.25,4,0.67,2,,0,1,,"sports-and-hobbies, kids, everyday, life-stories",,,,,Yes,,basketball,baseball,football,soccer,hockey,,,,,,,,,
awesomeness,,11,1,11,n/a,1,1,,0.27,4,0.25,1,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories",,,,,Yes,,landscape,sunset,sunrise,red sky,promontory,skyscraper,sunset,mountain range,glacier,red sky,monument,,,
aww-inspiring-moments,,21,3,9,10,3,3,,0.14,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baby-cheeks,,11,2,6,5,2,2,,0.27,4,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baby-fashion,,12,2,7,6,2,2,,0.25,4,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baby-giggles,,12,2,7,6,2,2,,0.25,4,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baby-its-cold-outside,,21,4,7,10,4,3,,0.14,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baby-shower,,11,2,6,5,2,2,,0.27,4,1.00,2,,0,1,,baby-shower,,,,,Yes,,party,balloon,,,,,,,,,,,,
babys-corner,,12,2,6,6,2,2,,0.25,4,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
babys-got-company,,17,3,7,8,3,3,,0.18,6,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
babys-toy-collection,,20,3,10,10,3,2,,0.15,7,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
back-to-school,,14,3,6,7,3,2,,0.21,5,1.00,2,,1,1,,,,,,,No,,,,,,,,,,,,,,,
backyard-blast,,14,2,8,7,2,2,,0.21,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baking-with-grandma,,19,3,7,9,3,3,,0.16,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
band-practice,,13,2,8,6,2,2,,0.23,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
baptism,,7,1,7,n/a,1,1,,0.43,3,0.33,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
bargain-hunters-at-work,,23,4,7,11,4,3,,0.13,8,1.00,2,,0,1,,,,,"travel, year-in-review, seasonal-holidays, family",,Yes,,shop,shopping,shopping mall,bazaar,market,,,,,,,,,
bath-time,,9,2,4,4,2,2,,0.33,3,1.00,2,,0,1,,,,,baby,,Yes,,bathtub,,,,,,,,,,,,,
batter-up,,9,2,6,4,2,2,,0.33,3,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
be-blessed,,10,2,7,5,2,2,,0.30,4,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
be-bold,,7,2,4,3,2,2,,0.43,3,1.00,2,,1,1,,,,,,,No,,,,,,,,,,,,,,,
be-in-love-with-every-minute-of-life,,36,8,6,18,8,5,,0.08,12,2.50,5,,0,1,,,,,,,No,,,,,,,,,,,,,,,
be-silly-be-honest-be-kind-ralph-waldo-emerson,,46,9,7,23,9,6,,0.07,16,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
be-your-very-best,,17,4,4,8,4,4,,0.18,6,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
beach-buddies,,13,2,7,6,2,2,,0.23,5,0.67,2,,0,1,,,"travel, family, everyday, life-stories, year-in-review, kids, seasonal-holidays",,,,Yes,,beach,palm tree,sand,,,,,,,,,,,
beautiful-baby,,14,2,9,7,2,2,,0.21,5,0.67,2,,0,1,,,baby,,,,Yes,,baby,newborn,,,,,,,,,,,,
beauty-and-a-baby-bump,,22,5,6,11,5,3,,0.14,8,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
beauty-in-a-frame,,17,4,6,8,4,3,,0.18,6,1.50,3,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories",,,,,Yes,,landscape,monument,sunrise,sunset,red sky,glacier,waterfall,mountain range,,,,,,
beauty-unlimited,,16,2,9,8,2,2,,0.19,6,0.67,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories",,,,,Yes,,landscape,monument,sunrise,sunset,red sky,glacier,waterfall,mountain range,,,,,,
bedside-reading,,15,2,7,7,2,2,,0.20,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
bedtime-buddies,,15,2,7,7,2,2,,0.20,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
behind-the-scenes,,17,3,6,8,3,3,,0.18,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
being-a-tourist-is-wonderful,,28,5,9,14,5,3,,0.11,10,1.00,2,,0,1,,travel,,,,,Yes,,person:all,monument:all,,,,,,,,,,,,
being-bashful,,13,2,7,6,2,2,,0.23,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
being-with-you-is-the-best-gift-of-all,,38,9,5,19,9,6,,0.08,13,3.00,6,,0,1,,,,,,,No,,,,,,,,,,,,,,,
belted-and-ready,,16,3,6,8,3,3,,0.19,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
berry-pickers-on-a-mission,,26,5,7,13,5,4,,0.12,9,1.33,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
best-birthday-cake-ever,,23,4,8,11,4,3,,0.13,8,1.00,2,,0,1,,,,,birthday,,yes,,cake:all,birthday cake:all,,,,,,,,,,,,
best-buddies,,12,2,7,6,2,2,,0.25,4,0.67,2,,1,1,,,,,,,No,,,,,,,,,,,,,,,
best-dad-ever,,13,3,4,6,3,3,,0.23,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
best-dad-of-all-time,,20,5,4,10,5,4,,0.15,7,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
